ID,YearStart,YearEnd,Description,LocationAbbr,LocationDesc,DataSource,Class,Topic,Question,Response,Data_Value_Unit,DataValueTypeId,Data_Value_Type,Data_Value,Data_Value_Footnote_Symbol,Data_Value_Footnote,Low_Confidence_Limit,High_Confidence_Limit,Sample_Size,GeoLocation_Lat,GeoLocation_Long,ClassId,TopicId,QuestionId,ResponseId,StratficationCategory1,StratificationCategoryId1,Stratification1,StratificationId1,StratificationCategory2,StratificationCategoryId2,Stratification2,StratificationId2,StratificationCategory3,StratificationCategoryId3,Stratification3,StratificationId3,LocationDisplayOrder,FootnoteSymbol,FootnoteText,URL,FootnoteHeading
90666,2015,2015,2015,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,28.4,,,26.9,30,"7,152",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
43369,2016,2016,2016,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29,,,27.5,30.6,"10,033",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
67586,2017,2017,2017,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.5,,,28.5,30.5,"14,164",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
47788,2018,2018,2018,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.5,,,27.8,31.3,"7,449",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
145779,2019,2019,2019,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.4,,,29.7,33.2,"8,183",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
193317,2020,2020,2020,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.9,,,29.5,32.3,"9,167",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
220553,2021,2021,2021,AZ,Arizona,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,31.3,,,30,32.6,"9,679",34.86597028,-111.7638113,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,4,,,,
74877,2011,2011,2011,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.9,,,28.8,33.1,"4,527",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
81209,2012,2012,2012,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.5,,,32.7,36.4,"4,943",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
72961,2013,2013,2013,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.6,,,32.7,36.6,"5,023",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
88800,2014,2014,2014,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.9,,,33.8,38,"4,886",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
61254,2015,2015,2015,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,34.5,,,32.2,36.9,"4,813",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
42266,2016,2016,2016,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35.7,,,33.3,38.1,"4,859",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
66989,2017,2017,2017,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,35,,,32.6,37.5,"4,884",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
49935,2018,2018,2018,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,37.1,,,35.1,39.1,"4,963",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
145527,2019,2019,2019,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,37.4,,,35.5,39.4,"4,922",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
193318,2020,2020,2020,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,36.4,,,34.5,38.4,"4,696",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
220554,2021,2021,2021,AR,Arkansas,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,38.7,,,36.6,40.8,"4,782",34.74865012,-92.27449074,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,5,,,,
87425,2011,2011,2011,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.8,,,22.9,24.7,"17,088",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
78994,2012,2012,2012,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,23.9,26,"13,646",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
85539,2013,2013,2013,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.1,,,23,25.3,"10,669",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
45495,2014,2014,2014,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.7,,,23.5,25.9,"8,025",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
75277,2015,2015,2015,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.2,,,23.2,25.2,"11,459",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
39398,2016,2016,2016,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,23.9,26.1,"10,352",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
64370,2017,2017,2017,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.1,,,23.8,26.4,"8,475",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
51316,2018,2018,2018,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.8,,,24.8,26.9,"10,856",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
146031,2019,2019,2019,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.2,,,25.1,27.2,"10,546",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
193319,2020,2020,2020,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,30.3,,,28.3,32.2,"4,354",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
220555,2021,2021,2021,CA,California,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.6,,,26.1,29.1,"6,148",37.63864012,-120.9999995,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,6,,,,
82809,2011,2011,2011,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,20.7,,,19.7,21.8,"12,976",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
83333,2012,2012,2012,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,20.5,,,19.5,21.5,"11,643",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
75743,2013,2013,2013,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,21.3,,,20.4,22.2,"12,920",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
73931,2014,2014,2014,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,21.3,,,20.4,22.2,"12,567",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
78755,2015,2015,2015,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,20.2,,,19.1,21.3,"12,183",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
41914,2016,2016,2016,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,22.3,,,21.4,23.2,"13,637",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
68307,2017,2017,2017,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,22.6,,,21.6,23.7,"9,063",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
52190,2018,2018,2018,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23,,,21.9,24,"8,234",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
146283,2019,2019,2019,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,23.8,,,22.7,24.9,"8,644",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
193320,2020,2020,2020,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.2,,,23.1,25.2,"9,211",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
220556,2021,2021,2021,CO,Colorado,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.1,,,24.1,26.2,"9,304",38.84384076,-106.1336109,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,8,,,,
98082,2011,2011,2011,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,24.5,,,23,26,"6,457",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
97943,2012,2012,2012,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.6,,,24.3,26.9,"8,312",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
98162,2013,2013,2013,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25,,,23.5,26.4,"7,309",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
55290,2014,2014,2014,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.3,,,24.9,27.7,"7,237",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
82618,2015,2015,2015,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,25.3,,,24.1,26.4,"10,901",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
40251,2016,2016,2016,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26,,,24.8,27.2,"9,960",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
59162,2017,2017,2017,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,26.9,,,25.6,28.1,"9,505",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
50690,2018,2018,2018,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,27.4,,,26.2,28.7,"9,722",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
146535,2019,2019,2019,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.1,,,27.8,30.5,"8,259",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
193321,2020,2020,2020,CT,Connecticut,BRFSS,Obesity / Weight Status,Obesity / Weight Status,Percent of adults aged 18 years and older who have obesity †,,,VALUE,Value,29.2,,,27.7,30.8,"7,930",41.56266102,-72.64984095,OWS,OWS1,Q036,,Total,OVR,Total,OVERALL,,,,,,,,,9,,,,
